,Name,N,Model Index,p,Tau,Lambda,MSE,NRMSE
330,Vanilla,250,0,5,5,0.1,4.81284259876702e-05,23.332786916965148
331,Vanilla,250,0,5,10,0.05,0.00012580715701915324,22.603345424189634
332,Vanilla,250,0,10,1,0.2,5.092629180580843e-07,22.271519915920297
333,Vanilla,250,0,10,2,0.2,2.9267386025821907e-07,22.407989902590757
334,Vanilla,250,0,10,5,0.2,1.0655060833641983e-07,22.366335421903116
335,Vanilla,250,0,10,10,0.05,6.484511771986945e-08,22.842293793360323
336,Gaussian,250,1,1,1,0.2,0.04972349479794502,22.64126255356647
337,Gaussian,250,1,1,2,0.2,0.045595526695251465,23.284242414650702
338,Gaussian,250,1,1,5,0.2,0.04518759995698929,22.934865524799246
339,Gaussian,250,1,1,10,0.2,0.04385653883218765,22.3893580906843
340,Gaussian,250,1,2,1,0.1,0.006943717133253813,22.255319023853954
341,Gaussian,250,1,2,2,0.2,0.004741626791656017,22.044540400620953
342,Gaussian,250,1,2,5,0.2,0.004969410598278046,22.50599421022375
343,Gaussian,250,1,2,10,0.2,0.0067131309770047665,22.726719608858808
344,Gaussian,250,1,5,1,0.2,9.28308509173803e-05,22.530511809595975
345,Gaussian,250,1,5,2,0.2,9.816019155550748e-05,22.049502772392977
346,Gaussian,250,1,5,5,0.2,8.51069125928916e-05,22.61194415149982
347,Gaussian,250,1,5,10,0.2,0.00013898444012738764,22.588112113186675
348,Gaussian,250,1,10,1,0.2,2.560524023920152e-07,22.53360662952948
349,Gaussian,250,1,10,2,0.05,1.5792942065218085e-07,22.459474816504574
350,Gaussian,250,1,10,5,0.2,2.2633004448380234e-07,22.8957705394195
351,Gaussian,250,1,10,10,0.2,4.02865396154084e-07,22.349606558731143
352,Hard Bimodal,250,2,1,1,0.2,0.05556634068489075,22.452702974243643
353,Hard Bimodal,250,2,1,2,0.0,1.8956478697873536e-07,0.04732675225202422
354,Hard Bimodal,250,2,1,5,0.0,0.00015500620065722615,1.3019917672068397
355,Hard Bimodal,250,2,1,10,0.0,0.03228163346648216,19.315191680091395
356,Hard Bimodal,250,2,2,1,0.2,0.007677534129470587,22.569431582194518
357,Hard Bimodal,250,2,2,2,0.0,7.020997145446017e-05,2.0455197805540624
358,Hard Bimodal,250,2,2,5,0.0,0.000553269637748599,5.462173431202024
359,Hard Bimodal,250,2,2,10,0.0,0.006263467948883772,21.660578571739492
